benchmark	vcnf_status	vcnf_time	vampire_status	vampire_time	cvc4_status	cvc4_time	z3_status	z3_time
UF_grasshopper_instantiated_concat_check_heap_access_23_4.smt2	Unsatisfiable	0.0345	Unsatisfiable	0.030685	unsat	0.0558	0.0558	unsat	0.0448411
UF_grasshopper_instantiated_concat_invariant_18_4.smt2	Unsatisfiable	0.0470	Unsatisfiable	0.0266641	unsat	0.0283	0.0283	unsat	0.0426569
UF_grasshopper_instantiated_concat_loop_check_heap_access_21_6.smt2	Unsatisfiable	0.0225	Unsatisfiable	0.0225889	unsat	0.0256	0.0256	unsat	0.0407051
UF_grasshopper_instantiated_concat_loop_invariant_22_5.smt2	Unsatisfiable	0.0468	Unsatisfiable	0.04678	unsat	0.0514	0.0514	unsat	0.046388
UF_grasshopper_instantiated_concat_postcondition_of_concat_14_4.smt2	Unsatisfiable	0.0276	Unsatisfiable	0.0270771	unsat	0.0239	0.0239	unsat	0.0420771
UF_grasshopper_instantiated_concat_postcondition_of_concat_24_4.smt2	Unsatisfiable	0.1721	Unsatisfiable	0.969269	unsat	0.4217	0.4217	unsat	0.130682
UF_grasshopper_instantiated_concat_postcondition_of_concat_25_3.smt2	Unsatisfiable	0.0160	Unsatisfiable	0.0180339	unsat	0.0096	0.0096	unsat	0.035299
UF_grasshopper_instantiated_concat_postcondition_of_concat_38_3.smt2	Unsatisfiable	0.0155	Unsatisfiable	0.0153099	unsat	0.0096	0.0096	unsat	0.034973
UF_grasshopper_instantiated_contains_postcondition_of_contains_50_1.smt2	Unsatisfiable	0.0156	Unsatisfiable	0.015363	unsat	0.0096	0.0096	unsat	0.0349149
UF_grasshopper_instantiated_copy_invariant_16_2.smt2	Unsatisfiable	0.0247	Unsatisfiable	0.0235721	unsat	0.0247	0.0247	unsat	0.042644
UF_grasshopper_instantiated_copy_loop_check_heap_access_22_4.smt2	Unsatisfiable	0.0216	Unsatisfiable	0.024885	unsat	0.0228	0.0228	unsat	0.041189
UF_grasshopper_instantiated_copy_loop_check_heap_access_23_4.smt2	Unsatisfiable	0.0374	Unsatisfiable	0.041142	unsat	0.0583	0.0583	unsat	0.0437701
UF_grasshopper_instantiated_copy_loop_invariant_24_3.smt2	Unsatisfiable	0.2957	Unsatisfiable	2.87831	unsat	0.7555	0.7555	unsat	0.130035
UF_grasshopper_instantiated_copy_postcondition_of_copy_25_2.smt2	Unsatisfiable	0.1002	Unsatisfiable	0.153869	unsat	0.1193	0.1193	unsat	0.073987
UF_grasshopper_instantiated_copy_postcondition_of_copy_26_1.smt2	Unsatisfiable	0.0182	Unsatisfiable	0.0185259	unsat	0.0096	0.0096	unsat	0.034856
UF_grasshopper_instantiated_copy_postcondition_of_copy_53_3.smt2	Unsatisfiable	0.0151	Unsatisfiable	0.0156239	unsat	0.0092	0.0092	unsat	0.0355079
UF_grasshopper_instantiated_create_check_heap_access_49_4.smt2	Unsatisfiable	0.0183	Unsatisfiable	0.0188449	unsat	0.0146	0.0146	unsat	0.038538
UF_grasshopper_instantiated_create_postcondition_of_create_50_4.smt2	Unsatisfiable	0.0410	Unsatisfiable	0.671882	unsat	0.0463	0.0463	unsat	0.0516929
UF_grasshopper_instantiated_create_postcondition_of_create_51_1.smt2	Unsatisfiable	0.0157	Unsatisfiable	0.0184299	unsat	0.0099	0.0099	unsat	0.0349969
UF_grasshopper_instantiated_delete_postcondition_of_delete_61_1.smt2	Unsatisfiable	0.0186	Unsatisfiable	0.0179239	unsat	0.0100	0.0100	unsat	0.035019
UF_grasshopper_instantiated_difference_postcondition_of_difference_44_5.smt2	Unsatisfiable	0.0152	Unsatisfiable	0.016252	unsat	0.0096	0.0096	unsat	0.0349151
UF_grasshopper_instantiated_dispose_invariant_13_2.smt2	Unsatisfiable	0.0197	Unsatisfiable	0.0188361	unsat	0.0145	0.0145	unsat	0.0389351
UF_grasshopper_instantiated_dispose_loop_check_free_19_4.smt2	Unsatisfiable	0.0208	Unsatisfiable	0.0217169	unsat	0.0191	0.0191	unsat	0.039911
UF_grasshopper_instantiated_dispose_loop_check_heap_access_18_4.smt2	Unsatisfiable	0.0199	Unsatisfiable	0.019675	unsat	0.0177	0.0177	unsat	0.0395409
UF_grasshopper_instantiated_dispose_loop_invariant_20_3.smt2	Unsatisfiable	0.0327	Unsatisfiable	0.0329469	unsat	0.0230	0.0230	unsat	0.0412069
UF_grasshopper_instantiated_dispose_postcondition_of_dispose_20_3.smt2	Unsatisfiable	0.0243	Unsatisfiable	0.0274061	unsat	0.0255	0.0255	unsat	0.041627
UF_grasshopper_instantiated_dl_concat_check_heap_access_23_4.smt2	Unsatisfiable	0.0210	Unsatisfiable	0.0227519	unsat	0.0210	0.0210	unsat	0.0413669
UF_grasshopper_instantiated_dl_concat_check_heap_access_24_4.smt2	Unsatisfiable	0.0434	Unsatisfiable	0.136161	unsat	0.0454	0.0454	unsat	0.0463579
UF_grasshopper_instantiated_dl_concat_postcondition_of_dl_concat_19_4.smt2	Unsatisfiable	0.0502	Unsatisfiable	0.055988	unsat	0.0513	0.0513	unsat	0.0510419
UF_grasshopper_instantiated_dl_concat_postcondition_of_dl_concat_21_4.smt2	Unsatisfiable	0.0475	Unsatisfiable	0.049471	unsat	0.0487	0.0487	unsat	0.047766
UF_grasshopper_instantiated_dl_concat_postcondition_of_dl_concat_25_4.smt2	Unsatisfiable	0.2289	Unsatisfiable	1.04975	unsat	0.3477	0.3477	unsat	0.077392
UF_grasshopper_instantiated_dl_concat_postcondition_of_dl_concat_26_3.smt2	Unsatisfiable	0.0153	Unsatisfiable	0.015266	unsat	0.0094	0.0094	unsat	0.034817
UF_grasshopper_instantiated_dl_copy_invariant_19_2.smt2	Unsatisfiable	0.0489	Unsatisfiable	0.076892	unsat	0.0524	0.0524	unsat	0.0504201
UF_grasshopper_instantiated_dl_copy_loop_check_heap_access_28_4.smt2	Unsatisfiable	0.0254	Unsatisfiable	0.0250619	unsat	0.0478	0.0478	unsat	0.0443249
UF_grasshopper_instantiated_dl_copy_loop_check_heap_access_29_4.smt2	Unsatisfiable	0.0316	Unsatisfiable	0.0281491	unsat	0.0787	0.0787	unsat	0.0480871
UF_grasshopper_instantiated_dl_copy_loop_check_heap_access_31_6.smt2	Unsatisfiable	0.0338	Unsatisfiable	0.03217	unsat	0.0450	0.0450	unsat	0.0476291
UF_grasshopper_instantiated_dl_copy_loop_check_heap_access_35_4.smt2	Unsatisfiable	0.1123	Unsatisfiable	0.111923	unsat	0.0738	0.0738	unsat	0.0504811
UF_grasshopper_instantiated_dl_copy_loop_invariant_36_3.smt2	Unsatisfiable	66.9982	--	298.617	unsat	129.0660	129.0660	unsat	4.57944
UF_grasshopper_instantiated_dl_copy_postcondition_of_dl_copy_37_1.smt2	Unsatisfiable	0.5254	Unsatisfiable	0.42912	unsat	0.2300	0.2300	unsat	0.0865931
UF_grasshopper_instantiated_dl_dispose_invariant_17_2.smt2	Unsatisfiable	0.0268	Unsatisfiable	0.0290069	unsat	0.0200	0.0200	unsat	0.0411359
UF_grasshopper_instantiated_dl_dispose_loop_check_free_22_4.smt2	Unsatisfiable	0.0239	Unsatisfiable	0.0246841	unsat	0.0234	0.0234	unsat	0.041065
UF_grasshopper_instantiated_dl_dispose_loop_check_heap_access_21_4.smt2	Unsatisfiable	0.0226	Unsatisfiable	0.022459	unsat	0.0204	0.0204	unsat	0.0404681
UF_grasshopper_instantiated_dl_dispose_loop_invariant_23_3.smt2	Unsatisfiable	0.0520	Unsatisfiable	0.077427	unsat	0.0500	0.0500	unsat	0.0496159
UF_grasshopper_instantiated_dl_dispose_postcondition_of_dl_dispose_24_1.smt2	Unsatisfiable	0.0410	Unsatisfiable	0.0340131	unsat	0.0360	0.0360	unsat	0.0434601
UF_grasshopper_instantiated_dl_filter_invariant_19_2.smt2	Unsatisfiable	0.0390	Unsatisfiable	0.037718	unsat	0.0349	0.0349	unsat	0.045137
UF_grasshopper_instantiated_dl_filter_loop_check_free_36_6.smt2	Unsatisfiable	0.0519	Unsatisfiable	0.0651299	unsat	0.0837	0.0837	unsat	0.046729
UF_grasshopper_instantiated_dl_filter_loop_check_heap_access_24_4.smt2	Unsatisfiable	0.0344	Unsatisfiable	0.0377059	unsat	0.0318	0.0318	unsat	0.0423819
UF_grasshopper_instantiated_dl_filter_loop_check_heap_access_27_8.smt2	Unsatisfiable	0.0261	Unsatisfiable	0.0393751	unsat	0.0229	0.0229	unsat	0.0420589
UF_grasshopper_instantiated_dl_filter_loop_check_heap_access_32_8.smt2	Unsatisfiable	0.0389	Unsatisfiable	0.0358471	unsat	0.0401	0.0401	unsat	0.0455311
UF_grasshopper_instantiated_dl_filter_loop_invariant_40_3.smt2	Unsatisfiable	3.7376	Unsatisfiable	46.2258	unsat	2.9206	2.9206	unsat	0.477816
UF_grasshopper_instantiated_dl_filter_postcondition_of_dl_filter_41_1.smt2	Unsatisfiable	0.4899	Unsatisfiable	0.373038	unsat	0.3649	0.3649	unsat	0.099239
UF_grasshopper_instantiated_dl_insert_check_heap_access_16_4.smt2	Unsatisfiable	0.0228	Unsatisfiable	0.0197821	unsat	0.0231	0.0231	unsat	0.0405499
UF_grasshopper_instantiated_dl_insert_check_heap_access_31_4.smt2	Unsatisfiable	0.1290	Unsatisfiable	0.13265	unsat	0.1999	0.1999	unsat	0.062124
UF_grasshopper_instantiated_dl_insert_check_heap_access_32_4.smt2	Unsatisfiable	0.0882	Unsatisfiable	0.172933	unsat	0.1722	0.1722	unsat	0.055347
UF_grasshopper_instantiated_dl_insert_check_heap_access_34_6.smt2	Unsatisfiable	0.0433	Unsatisfiable	0.0753171	unsat	0.1466	0.1466	unsat	0.0519881
UF_grasshopper_instantiated_dl_insert_check_heap_access_38_4.smt2	Unsatisfiable	0.2369	Unsatisfiable	0.672667	unsat	0.5493	0.5493	unsat	0.0778229
UF_grasshopper_instantiated_dl_insert_invariant_24_4.smt2	Unsatisfiable	0.0413	Unsatisfiable	0.039314	unsat	0.0416	0.0416	unsat	0.0464899
UF_grasshopper_instantiated_dl_insert_loop_check_heap_access_28_6.smt2	Unsatisfiable	0.0418	Unsatisfiable	0.0431739	unsat	0.0350	0.0350	unsat	0.0431431
UF_grasshopper_instantiated_dl_insert_loop_invariant_30_5.smt2	Unsatisfiable	0.2460	Unsatisfiable	0.300025	unsat	0.3632	0.3632	unsat	0.372815
UF_grasshopper_instantiated_dl_insert_postcondition_of_dl_insert_17_4.smt2	Unsatisfiable	0.0498	Unsatisfiable	0.046949	unsat	0.0580	0.0580	unsat	0.0522729
UF_grasshopper_instantiated_dl_insert_postcondition_of_dl_insert_39_4.smt2	Unsatisfiable	20.7363	Unsatisfiable	21.172	unsat	4.1658	4.1658	unsat	1.18918
UF_grasshopper_instantiated_dl_insert_postcondition_of_dl_insert_40_3.smt2	Unsatisfiable	0.0152	Unsatisfiable	0.017988	unsat	0.0093	0.0093	unsat	0.034998
UF_grasshopper_instantiated_dl_remove_check_free_18_4.smt2	Unsatisfiable	0.0211	Unsatisfiable	0.0209381	unsat	0.0159	0.0159	unsat	0.0393901
UF_grasshopper_instantiated_dl_remove_check_free_49_4.smt2	Unsatisfiable	0.1082	Unsatisfiable	0.677434	unsat	0.1323	0.1323	unsat	0.0562469
UF_grasshopper_instantiated_dl_remove_check_heap_access_38_4.smt2	Unsatisfiable	0.0689	Unsatisfiable	0.076153	unsat	0.0849	0.0849	unsat	0.0508539
UF_grasshopper_instantiated_dl_remove_check_heap_access_40_6.smt2	Unsatisfiable	0.0316	Unsatisfiable	0.030797	unsat	0.0766	0.0766	unsat	0.0477729
UF_grasshopper_instantiated_dl_remove_check_heap_access_40_6_1.smt2	Unsatisfiable	0.0563	Unsatisfiable	0.055844	unsat	0.0845	0.0845	unsat	0.0495201
UF_grasshopper_instantiated_dl_remove_check_heap_access_45_6.smt2	Unsatisfiable	0.0481	Unsatisfiable	0.112157	unsat	0.3297	0.3297	unsat	0.0533491
UF_grasshopper_instantiated_dl_remove_invariant_27_4.smt2	Unsatisfiable	0.0339	Unsatisfiable	0.0319179	unsat	0.0353	0.0353	unsat	0.0440619
UF_grasshopper_instantiated_dl_remove_loop_check_heap_access_33_6.smt2	Unsatisfiable	0.0380	Unsatisfiable	0.038843	unsat	0.0351	0.0351	unsat	0.042913
UF_grasshopper_instantiated_dl_remove_loop_invariant_35_5.smt2	Unsatisfiable	0.2080	Unsatisfiable	0.292544	unsat	0.3606	0.3606	unsat	0.383405
UF_grasshopper_instantiated_dl_remove_postcondition_of_dl_remove_16_4.smt2	Unsatisfiable	0.0285	Unsatisfiable	0.029968	unsat	0.0271	0.0271	unsat	0.0431601
UF_grasshopper_instantiated_dl_remove_postcondition_of_dl_remove_19_4.smt2	Unsatisfiable	0.0313	Unsatisfiable	0.033482	unsat	0.0345	0.0345	unsat	0.04465
UF_grasshopper_instantiated_dl_remove_postcondition_of_dl_remove_50_4.smt2	Unsatisfiable	18.8616	Unsatisfiable	18.3436	unsat	1.5645	1.5645	unsat	0.979448
UF_grasshopper_instantiated_dl_remove_postcondition_of_dl_remove_51_3.smt2	Unsatisfiable	0.0152	Unsatisfiable	0.0161879	unsat	0.0092	0.0092	unsat	0.0345639
UF_grasshopper_instantiated_dl_reverse_invariant_18_2.smt2	Unsatisfiable	0.0393	Unsatisfiable	0.0400211	unsat	0.0345	0.0345	unsat	0.0444731
UF_grasshopper_instantiated_dl_reverse_loop_check_heap_access_24_4.smt2	Unsatisfiable	0.0318	Unsatisfiable	0.0357291	unsat	0.0329	0.0329	unsat	0.0436471
UF_grasshopper_instantiated_dl_reverse_loop_check_heap_access_25_4.smt2	Unsatisfiable	0.0312	Unsatisfiable	0.034385	unsat	0.0369	0.0369	unsat	0.0436601
UF_grasshopper_instantiated_dl_reverse_loop_check_heap_access_27_4.smt2	Unsatisfiable	0.0425	Unsatisfiable	0.121126	unsat	0.0351	0.0351	unsat	0.0495459
UF_grasshopper_instantiated_dl_reverse_loop_invariant_28_3.smt2	Unsatisfiable	0.2760	Unsatisfiable	1.32934	unsat	0.5281	0.5281	unsat	0.13424
UF_grasshopper_instantiated_dl_reverse_postcondition_of_dl_reverse_29_1.smt2	Unsatisfiable	0.1784	Unsatisfiable	0.183179	unsat	0.1415	0.1415	unsat	0.092257
UF_grasshopper_instantiated_dl_traverse_invariant_18_2.smt2	Unsatisfiable	0.0513	Unsatisfiable	0.0447151	unsat	0.0394	0.0394	unsat	0.0451971
UF_grasshopper_instantiated_dl_traverse_loop_check_heap_access_22_4.smt2	Unsatisfiable	0.0299	Unsatisfiable	0.035534	unsat	0.0318	0.0318	unsat	0.0425021
UF_grasshopper_instantiated_dl_traverse_loop_invariant_23_3.smt2	Unsatisfiable	0.5496	Unsatisfiable	10.6504	unsat	0.2816	0.2816	unsat	0.34531
UF_grasshopper_instantiated_dl_traverse_postcondition_of_dl_traverse_24_1.smt2	Unsatisfiable	0.1099	Unsatisfiable	0.0932769	unsat	0.0927	0.0927	unsat	0.056929
UF_grasshopper_instantiated_filter_invariant_17_2.smt2	Unsatisfiable	0.0265	Unsatisfiable	0.0232549	unsat	0.0242	0.0242	unsat	0.0411861
