benchmark,solver,configuration,status,cpu time,wallclock time,memory usage,result,expected,SZSResult,SZSOutput,SZSStatus
boogie-smtlib-invariants/bubble-sort-1.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,timeout (cpu),300.1,300.114,588228.0,--,,UNK-Non,Non,UNK
boogie-smtlib-invariants/insertion-sort-3.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,299.592,299.773,596136.0,--,,UNK-Non,Non,UNK
boogie-smtlib-invariants/dutch-flag-4.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,timeout (cpu),300.016,300.114,483992.0,--,,UNK-Non,Non,UNK
boogie-smtlib-invariants/matrix-transpose-3.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,1.07547,1.07766,146752.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smtlib-invariants/one-duplicate-2.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,299.834,299.945,845144.0,--,,UNK-Non,Non,UNK
boogie-smtlib-invariants/two-way-sort-1.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,0.191021,0.191455,113128.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smtlib-invariants/binary-search-5.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,27.6411,27.6476,201836.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smtlib-invariants/select-k-3.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,timeout (cpu),300.02,300.105,472400.0,--,,UNK-Non,Non,UNK
boogie-smtlib-invariants/select-k-2.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,299.977,300.12,469016.0,--,,UNK-Non,Non,UNK
boogie-smtlib-invariants/maximum-1.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,0.064988,0.0661009,113128.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smtlib-invariants/binary-search-4.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,10.7036,10.7094,184844.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smtlib-invariants/matrix-transpose-2.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,timeout (cpu),300.06,300.106,231708.0,--,,UNK-Non,Non,UNK
boogie-smtlib-invariants/one-duplicate-3.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,299.917,300.008,568676.0,--,,UNK-Non,Non,UNK
boogie-smtlib-invariants/insertion-sort-2.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,timeout (cpu),300.05,300.112,614604.0,--,,UNK-Non,Non,UNK
boogie-smtlib-invariants/dutch-flag-5.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,297.857,297.915,1000696.0,--,,UNK-Non,Non,UNK
boogie-smtlib-invariants/select-k-5.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,timeout (cpu),300.072,300.114,429644.0,--,,UNK-Non,Non,UNK
boogie-smtlib-invariants/insertion-sort-5.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,300.051,300.19,1013532.0,--,,UNK-Non,Non,UNK
boogie-smtlib-invariants/dutch-flag-2.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,299.963,300.121,720856.0,--,,UNK-Non,Non,UNK
boogie-smtlib-invariants/maxarray-1.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,0.205013,0.205372,113128.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smtlib-invariants/matrix-transpose-5.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,timeout (cpu),300.074,300.104,214536.0,--,,UNK-Non,Non,UNK
boogie-smtlib-invariants/one-duplicate-4.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,299.957,299.988,715132.0,--,,UNK-Non,Non,UNK
boogie-smtlib-invariants/binary-search-3.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,3.36283,3.36384,158672.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smtlib-invariants/binary-search-2.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,2.41929,2.42002,156108.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smtlib-invariants/matrix-transpose-4.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,timeout (cpu),300.063,300.116,210212.0,--,,UNK-Non,Non,UNK
boogie-smtlib-invariants/one-duplicate-5.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,complete,300.033,300.064,742164.0,--,,UNK-Non,Non,UNK
boogie-smtlib-invariants/insertion-sort-4.smt2,vampire_z3_rel_static_master_3756,vampire_smtlib,timeout (cpu),300.01,300.122,567412.0,--,,UNK-Non,Non,UNK
