benchmark,solver,configuration,status,cpu time,wallclock time,memory usage,result,expected,SZSResult,SZSOutput,SZSStatus
boogie-blt/binary-search-1.p,vampire_z3_rel_static_master_3751,run_tptp,complete,0.451023,0.466472,113128.0,Theorem,,THM-Ass,Ass,THM
boogie-blt/binary-search-2.p,vampire_z3_rel_static_master_3751,run_tptp,complete,106.921,106.946,401592.0,Theorem,,THM-Ass,Ass,THM
boogie-blt/binary-search-3.p,vampire_z3_rel_static_master_3751,run_tptp,complete,300.056,300.12,409688.0,--,,UNK-Non,Non,UNK
boogie-blt/binary-search-4.p,vampire_z3_rel_static_master_3751,run_tptp,complete,300.059,300.14,855752.0,--,,UNK-Non,Non,UNK
boogie-blt/binary-search-5.p,vampire_z3_rel_static_master_3751,run_tptp,timeout (cpu),300.01,300.083,3828092.0,--,,UNK-Non,Non,UNK
boogie-blt/bubble-sort-1.p,vampire_z3_rel_static_master_3751,run_tptp,complete,12.681,12.6964,187600.0,Theorem,,THM-Ass,Ass,THM
boogie-blt/bubble-sort-2.p,vampire_z3_rel_static_master_3751,run_tptp,timeout (cpu),300.03,300.113,239952.0,--,,UNK-Non,Non,UNK
boogie-blt/bubble-sort-3.p,vampire_z3_rel_static_master_3751,run_tptp,complete,299.98,300.108,385692.0,--,,UNK-Non,Non,UNK
boogie-blt/bubble-sort-4.p,vampire_z3_rel_static_master_3751,run_tptp,complete,300.006,300.169,2198040.0,--,,UNK-Non,Non,UNK
boogie-blt/bubble-sort-5.p,vampire_z3_rel_static_master_3751,run_tptp,timeout (cpu),300.0,300.058,1710216.0,--,,UNK-Non,Non,UNK
boogie-blt/dutch-flag-1.p,vampire_z3_rel_static_master_3751,run_tptp,complete,5.00865,5.00915,166132.0,Theorem,,THM-Ass,Ass,THM
boogie-blt/dutch-flag-2.p,vampire_z3_rel_static_master_3751,run_tptp,complete,293.878,293.94,232664.0,--,,UNK-Non,Non,UNK
boogie-blt/dutch-flag-3.p,vampire_z3_rel_static_master_3751,run_tptp,complete,300.002,300.118,616416.0,--,,UNK-Non,Non,UNK
