benchmark,solver,configuration,status,cpu time,wallclock time,memory usage,result,expected,SZSResult,SZSOutput,SZSStatus
boogie-smt/binary-search-1.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,3.36609,3.36694,163412.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/binary-search-2.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,13.5047,13.5106,205608.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/binary-search-3.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,30.8845,30.8922,239784.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/binary-search-4.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,5.32642,5.32743,163204.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/binary-search-5.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,11.7694,11.7748,174656.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/bubble-sort-1.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,148.187,148.231,379340.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/bubble-sort-2.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,299.747,299.901,569728.0,--,,UNK-Non,Non,UNK
boogie-smt/bubble-sort-3.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,294.051,294.227,530140.0,--,,UNK-Non,Non,UNK
boogie-smt/bubble-sort-4.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,299.264,299.371,581404.0,--,,UNK-Non,Non,UNK
boogie-smt/bubble-sort-5.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,299.983,300.124,506176.0,--,,UNK-Non,Non,UNK
boogie-smt/dutch-flag-1.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,20.523,20.5279,229480.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/dutch-flag-2.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,298.459,298.576,460268.0,--,,UNK-Non,Non,UNK
boogie-smt/dutch-flag-3.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,299.524,299.633,618672.0,--,,UNK-Non,Non,UNK
boogie-smt/dutch-flag-4.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,298.237,298.381,617676.0,--,,UNK-Non,Non,UNK
boogie-smt/dutch-flag-5.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,299.958,300.098,589376.0,--,,UNK-Non,Non,UNK
boogie-smt/insertion-sort-1.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,0.153831,0.154333,113128.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/insertion-sort-2.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,6.05769,6.05977,167152.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/insertion-sort-3.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,174.585,174.667,374068.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/insertion-sort-4.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,299.694,299.765,394156.0,--,,UNK-Non,Non,UNK
boogie-smt/insertion-sort-5.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,300.02,300.116,466488.0,--,,UNK-Non,Non,UNK
boogie-smt/matrix-transpose-1.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,0.14145,0.146668,113128.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/matrix-transpose-2.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,0.541331,0.54527,113128.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/matrix-transpose-3.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,0.643522,0.644061,145568.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/matrix-transpose-4.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,7.87536,7.88195,162636.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/matrix-transpose-5.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,8.76026,8.76602,158884.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/maxarray-1.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,0.124558,0.125339,113128.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/maxarray-2.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,0.220166,0.225196,113128.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/maxarray-3.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,0.412136,0.412879,113128.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/maxarray-4.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,0.546885,0.550784,113128.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/maxarray-5.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,1.60284,1.60602,151860.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/maximum-1.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,0.070239,0.0857649,16924.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/maximum-2.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,0.082919,0.0834091,113128.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/maximum-3.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,0.087401,0.0880279,113128.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/maximum-4.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,0.106441,0.10984,113128.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/maximum-5.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,0.133692,0.138677,113128.0,Unsatisfiable,,UNS-Ass,Ass,UNS
boogie-smt/one-duplicate-1.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,299.755,299.865,570920.0,--,,UNK-Non,Non,UNK
boogie-smt/one-duplicate-2.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,timeout (cpu),300.01,300.099,438028.0,--,,UNK-Non,Non,UNK
boogie-smt/one-duplicate-3.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,299.749,299.803,625332.0,--,,UNK-Non,Non,UNK
boogie-smt/one-duplicate-4.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,299.627,299.772,708520.0,--,,UNK-Non,Non,UNK
boogie-smt/one-duplicate-5.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,299.843,299.912,728884.0,--,,UNK-Non,Non,UNK
boogie-smt/select-k-1.smt2,vampire_z3_rel_static_master_3751,vampire_smtlib2,complete,37.6942,37.714,274216.0,Unsatisfiable,,UNS-Ass,Ass,UNS
