pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected,SZSResult,SZSOutput,SZSStatus
321442903,boogie-tptp-invariants/maxarray-3.p,5450373,vampire_z3_rel_static_master_3756,13835,vampire_tptp,255047,complete,0.487788,0.48891,113128.0,Theorem,,THM-Ass,Ass,THM
321442904,boogie-tptp-invariants/maximum-1.p,5450374,vampire_z3_rel_static_master_3756,13835,vampire_tptp,255047,complete,0.060763,0.0620959,113128.0,Theorem,,THM-Ass,Ass,THM
321442905,boogie-tptp-invariants/bubble-sort-3.p,5450375,vampire_z3_rel_static_master_3756,13835,vampire_tptp,255047,complete,2.07196,2.07345,150604.0,Theorem,,THM-Ass,Ass,THM
321442906,boogie-tptp-invariants/maximum-5.p,5450376,vampire_z3_rel_static_master_3756,13835,vampire_tptp,255047,complete,0.093908,0.101873,113128.0,Theorem,,THM-Ass,Ass,THM
321442907,boogie-tptp-invariants/binary-search-2.p,5450377,vampire_z3_rel_static_master_3756,13835,vampire_tptp,255047,complete,25.123,25.135,243264.0,Theorem,,THM-Ass,Ass,THM
321442908,boogie-tptp-invariants/matrix-transpose-3.p,5450378,vampire_z3_rel_static_master_3756,13835,vampire_tptp,255047,timeout (cpu),300.08,300.113,227664.0,--,,UNK-Non,Non,UNK
321442909,boogie-tptp-invariants/one-duplicate-2.p,5450379,vampire_z3_rel_static_master_3756,13835,vampire_tptp,255047,complete,2.39642,2.40176,156008.0,Theorem,,THM-Ass,Ass,THM
321442910,boogie-tptp-invariants/insertion-sort-2.p,5450380,vampire_z3_rel_static_master_3756,13835,vampire_tptp,255047,complete,38.1645,38.1691,224608.0,Theorem,,THM-Ass,Ass,THM
321442911,boogie-tptp-invariants/two-way-sort-1.p,5450381,vampire_z3_rel_static_master_3756,13835,vampire_tptp,255047,complete,0.459733,0.463849,113128.0,Theorem,,THM-Ass,Ass,THM
321442912,boogie-tptp-invariants/two-way-sort-5.p,5450382,vampire_z3_rel_static_master_3756,13835,vampire_tptp,255047,timeout (cpu),300.03,300.108,227548.0,--,,UNK-Non,Non,UNK
